CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
690,13.957630409944299,13.8643539030305,1.1522145125946,1.0,2019.0,High_Himal,2019-01-01,Winter
690,14.2207724428342,14.071779725228,1.1184121507337001,2.0,2019.0,High_Himal,2019-02-01,Winter
690,15.2730966011163,15.123079207734401,1.2298833294749,3.0,2019.0,High_Himal,2019-03-01,Pre-monsoon
690,16.902188921921702,16.743264861255902,1.2047859617576,4.0,2019.0,High_Himal,2019-04-01,Pre-monsoon
690,17.8131661387348,17.7300719145106,1.3728709844834,5.0,2019.0,High_Himal,2019-05-01,Pre-monsoon
690,18.009661075670298,17.8324681022919,1.3755540463511,6.0,2019.0,High_Himal,2019-06-01,Monsoon
690,20.0702247552336,19.9749318267881,1.2969519344436,7.0,2019.0,High_Himal,2019-07-01,Monsoon
690,18.5591503637915,18.4772612517263,1.0996101144506,8.0,2019.0,High_Himal,2019-08-01,Monsoon
690,19.009095540871797,18.9350563976289,1.2456970738328998,9.0,2019.0,High_Himal,2019-09-01,Monsoon
690,16.4030679139374,16.2759515380289,1.1320925022366002,10.0,2019.0,High_Himal,2019-10-01,Post-monsoon
690,15.416280567168899,15.3034899678286,1.2025997954393002,11.0,2019.0,High_Himal,2019-11-01,Post-monsoon
690,14.4754041567729,14.359048076335,1.0831995013587,12.0,2019.0,High_Himal,2019-12-01,Winter
690,15.009992678316399,14.8825060734649,1.2505613039845,1.0,2020.0,High_Himal,2020-01-01,Winter
690,15.5325440932107,15.288483597466898,1.3449429392819001,2.0,2020.0,High_Himal,2020-02-01,Winter
690,15.984394934925602,15.8437327269574,1.312286899036,3.0,2020.0,High_Himal,2020-03-01,Pre-monsoon
690,17.4190204776839,17.3010406900883,1.2651546691437,4.0,2020.0,High_Himal,2020-04-01,Pre-monsoon
690,18.2035490451564,17.9730161304964,1.2493448087280001,5.0,2020.0,High_Himal,2020-05-01,Pre-monsoon
690,18.958788377846098,18.7729532231523,1.5338645462402,6.0,2020.0,High_Himal,2020-06-01,Monsoon
690,19.7955020802721,19.6977719532239,1.1967856406538,7.0,2020.0,High_Himal,2020-07-01,Monsoon
690,18.4175352577879,18.3903587767736,1.1369346651221999,8.0,2020.0,High_Himal,2020-08-01,Monsoon
690,19.4070412524942,19.3707096938775,1.2293922421271999,9.0,2020.0,High_Himal,2020-09-01,Monsoon
690,16.887158472383202,16.792337360315898,1.1270051083151,10.0,2020.0,High_Himal,2020-10-01,Post-monsoon
690,15.6714289856048,15.4811667519202,1.2079692172671002,11.0,2020.0,High_Himal,2020-11-01,Post-monsoon
690,15.796492602888499,15.6467967379658,1.238955790332,12.0,2020.0,High_Himal,2020-12-01,Winter
690,16.402207404137002,16.278432651489197,1.4250018628736,1.0,2021.0,High_Himal,2021-01-01,Winter
690,15.888650570730901,15.716832802524499,1.3594735213813,2.0,2021.0,High_Himal,2021-02-01,Winter
690,17.0320837799486,16.813495440523003,1.4474200744510002,3.0,2021.0,High_Himal,2021-03-01,Pre-monsoon
690,18.053000237073398,18.0406747595699,1.6604958119234998,4.0,2021.0,High_Himal,2021-04-01,Pre-monsoon
690,18.8659921916317,18.7623885972285,1.4769266843451,5.0,2021.0,High_Himal,2021-05-01,Pre-monsoon
690,19.296001323912602,19.253579656203097,1.490102337567,6.0,2021.0,High_Himal,2021-06-01,Monsoon
690,19.2279469177797,19.1871323611058,1.2725418477607,7.0,2021.0,High_Himal,2021-07-01,Monsoon
690,19.8239214988431,19.744777335307802,1.2438691652595,8.0,2021.0,High_Himal,2021-08-01,Monsoon
690,17.1850475562652,17.1327146828943,1.1052773394658,9.0,2021.0,High_Himal,2021-09-01,Monsoon
690,15.934305656748402,15.842408788659501,1.1847269471416,10.0,2021.0,High_Himal,2021-10-01,Post-monsoon
690,15.2156928948787,15.1671939398217,1.1206551556186999,11.0,2021.0,High_Himal,2021-11-01,Post-monsoon
690,13.522907187153098,13.4425380593408,1.0300153600979,12.0,2021.0,High_Himal,2021-12-01,Winter
690,13.572708630314601,13.457861573097102,1.097831929005,1.0,2022.0,High_Himal,2022-01-01,Winter
690,13.718224812644,13.7051229810334,1.1782518350539,2.0,2022.0,High_Himal,2022-02-01,Winter
690,16.2167182817167,16.081196243008,1.3163873556739,3.0,2022.0,High_Himal,2022-03-01,Pre-monsoon
690,15.8909706959974,15.780543998331499,1.237705385108,4.0,2022.0,High_Himal,2022-04-01,Pre-monsoon
690,16.852190850756,16.6796684131117,1.1699603111385999,5.0,2022.0,High_Himal,2022-05-01,Pre-monsoon
690,18.937109422281498,18.7667257541593,1.4714159249735,6.0,2022.0,High_Himal,2022-06-01,Monsoon
690,16.765683338530998,16.7657060442409,1.1173461820067,7.0,2022.0,High_Himal,2022-07-01,Monsoon
690,18.1866636171661,18.1589540114558,1.094571431754,8.0,2022.0,High_Himal,2022-08-01,Monsoon
690,17.9777690482074,17.8359105447475,1.1963520810259,9.0,2022.0,High_Himal,2022-09-01,Monsoon
690,13.8978696849832,13.8337924389496,1.2266130681525,10.0,2022.0,High_Himal,2022-10-01,Post-monsoon
690,14.0478518347204,14.0027210626751,1.1993471024588,11.0,2022.0,High_Himal,2022-11-01,Post-monsoon
690,14.3018037978664,14.1448066160062,1.0893223273533001,12.0,2022.0,High_Himal,2022-12-01,Winter
