Pollutant,Zone,Period,Mean,PctChange_vs_Baseline
CO,High_Himal,Post-Rebound (2022–2026),16.1664,-1.87
CO,High_Mountains,Post-Rebound (2022–2026),19.9064,-1.88
CO,Middle_Mountains,Post-Rebound (2022–2026),28.3191,-0.81
CO,Siwalik,Post-Rebound (2022–2026),35.4818,-0.26
CO,Terai,Post-Rebound (2022–2026),41.4181,0.01
O3,High_Himal,Pre-Lockdown (Jan 2019–Feb 2020),117.8919,0.0
O3,High_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),118.7939,0.0
O3,Middle_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),119.8012,0.0
O3,Siwalik,Pre-Lockdown (Jan 2019–Feb 2020),120.8127,0.0
O3,Terai,Pre-Lockdown (Jan 2019–Feb 2020),121.4933,0.0
O3,High_Himal,Lockdown (Mar–Jun 2020),124.9818,6.01
O3,High_Mountains,Lockdown (Mar–Jun 2020),126.1295,6.18
O3,Middle_Mountains,Lockdown (Mar–Jun 2020),127.9925,6.84
O3,Siwalik,Lockdown (Mar–Jun 2020),129.5349,7.22
O3,Terai,Lockdown (Mar–Jun 2020),130.5831,7.48
O3,High_Himal,Post-Lockdown 2020 (Jul–Dec 2020),113.7594,-3.51
O3,High_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),114.4407,-3.66
O3,Middle_Mountains,Post-Lockdown 2020 (Jul–Dec 2020),115.8942,-3.26
O3,Siwalik,Post-Lockdown 2020 (Jul–Dec 2020),117.3205,-2.89
O3,Terai,Post-Lockdown 2020 (Jul–Dec 2020),118.5336,-2.44
O3,High_Himal,Rebound 2021 (Jan–Dec 2021),119.0956,1.02
O3,High_Mountains,Rebound 2021 (Jan–Dec 2021),120.0583,1.06
O3,Middle_Mountains,Rebound 2021 (Jan–Dec 2021),121.5234,1.44
O3,Siwalik,Rebound 2021 (Jan–Dec 2021),122.9268,1.75
O3,Terai,Rebound 2021 (Jan–Dec 2021),123.9232,2.0
O3,High_Himal,Post-Rebound (2022–2026),121.2073,2.81
O3,High_Mountains,Post-Rebound (2022–2026),122.1115,2.79
O3,Middle_Mountains,Post-Rebound (2022–2026),123.627,3.19
O3,Siwalik,Post-Rebound (2022–2026),125.0664,3.52
O3,Terai,Post-Rebound (2022–2026),126.1473,3.83
HCHO,High_Himal,Pre-Lockdown (Jan 2019–Feb 2020),62.572,0.0
HCHO,High_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),58.9167,0.0
HCHO,Middle_Mountains,Pre-Lockdown (Jan 2019–Feb 2020),89.4894,0.0
HCHO,Siwalik,Pre-Lockdown (Jan 2019–Feb 2020),135.3646,0.0
HCHO,Terai,Pre-Lockdown (Jan 2019–Feb 2020),179.7097,0.0
HCHO,High_Himal,Lockdown (Mar–Jun 2020),64.8965,3.71
HCHO,High_Mountains,Lockdown (Mar–Jun 2020),56.1963,-4.62
HCHO,Middle_Mountains,Lockdown (Mar–Jun 2020),80.2319,-10.34
HCHO,Siwalik,Lockdown (Mar–Jun 2020),136.3624,0.74
HCHO,Terai,Lockdown (Mar–Jun 2020),184.8317,2.85
