dewpoint_mean,month,precip_mean,precip_std,rh_mean,rh_std,temp_mean,temp_std,wind_dir_mean,wind_speed_mean,year,zone,date,season
-24.715932212729264,1,103.4397509473794,47.48278266546442,57.26057573974094,8.903860341346897,-18.180849641295147,3.008333906142043,172.4669191546871,0.7224639312799159,2019,High_Himal,2019-01-01,Winter
-23.26838216964606,2,147.31743061921773,62.69041180719505,57.625844071353214,9.11156537047829,-16.701831534352205,3.32688328323924,192.59867837316804,0.710738302063668,2019,High_Himal,2019-02-01,Winter
-21.282908645635345,3,47.2370213453784,47.7664646908512,55.60911718638614,9.216708201769116,-14.186023162243297,3.408254402032042,166.30443397776028,0.6775091241248754,2019,High_Himal,2019-03-01,Pre-monsoon
-12.615598193032868,4,39.78241134480917,31.279481878972348,66.41706373311632,6.613072019950772,-7.386479601110498,2.5841794622778176,151.3081789893986,0.50062804511372,2019,High_Himal,2019-04-01,Pre-monsoon
-7.949034404927123,5,52.07578458023123,62.044041845902825,76.05035885077824,9.241948161637088,-4.294024920585353,2.6778300252811875,193.39896242426147,0.6321946444910546,2019,High_Himal,2019-05-01,Pre-monsoon
-2.0201719858105087,6,111.97498575445437,89.87071851422269,80.37443522754768,12.074229402598853,1.1101141524247349,2.290592761480236,226.75497679974836,0.869630503728039,2019,High_Himal,2019-06-01,Monsoon
2.263202287581157,7,307.22883871878014,148.6334785414879,91.30888728709424,4.912059818406871,3.5600246269481057,2.008089230375784,242.7417087873119,0.661908529654886,2019,High_Himal,2019-07-01,Monsoon
2.486120940187815,8,221.4214928086064,76.36426020645072,91.21137606835032,3.254365735591032,3.791905485159535,1.9481140484598485,244.3113623726492,0.6756186776270333,2019,High_Himal,2019-08-01,Monsoon
0.1680867312407284,9,224.4514273956136,119.18259686922433,90.28441940201544,5.075041699077631,1.6010502216409364,1.967594330209873,240.41049001575809,0.6451618679138504,2019,High_Himal,2019-09-01,Monsoon
-8.93360831404135,10,34.10856610893933,28.924807023779746,70.29630839386739,9.8722893857705,-4.234399405583563,2.5300479025985045,220.05390317404425,0.7006448398618611,2019,High_Himal,2019-10-01,Post-monsoon
-15.571579338549729,11,36.265013686625146,32.83993656973791,58.2180846036662,10.690238060991463,-8.647280893662842,3.4706526868915653,181.8903519025013,0.692154644266664,2019,High_Himal,2019-11-01,Post-monsoon
