UVAI_count,UVAI_mean,UVAI_median,UVAI_stdDev,month,year,zone,date,season
690,-0.5049644056394299,-0.4767939385729718,0.2827787726979945,1.0,2019.0,High_Himal,2019-01-01,Winter
690,-0.3683614780080331,-0.3708340841728718,0.1526845331568059,2.0,2019.0,High_Himal,2019-02-01,Winter
690,-0.0885395897392559,-0.0581298310665181,0.2346155776248032,3.0,2019.0,High_Himal,2019-03-01,Pre-monsoon
690,-0.0628369692114506,-0.0742071238648399,0.2980562896482865,4.0,2019.0,High_Himal,2019-04-01,Pre-monsoon
690,-0.0868652156646353,-0.1021964398740942,0.3723143094032968,5.0,2019.0,High_Himal,2019-05-01,Pre-monsoon
690,-0.3322579638134747,-0.3645181613177333,0.3658209932947657,6.0,2019.0,High_Himal,2019-06-01,Monsoon
690,-0.7240395962838919,-0.7140214593782698,0.2226253359250103,7.0,2019.0,High_Himal,2019-07-01,Monsoon
690,-0.7978768127205506,-0.7845141461405911,0.231415349404016,8.0,2019.0,High_Himal,2019-08-01,Monsoon
690,-0.7899721660966285,-0.7855859562491625,0.2346985589136181,9.0,2019.0,High_Himal,2019-09-01,Monsoon
690,-0.7459730666022117,-0.7629165371999018,0.3561005274031411,10.0,2019.0,High_Himal,2019-10-01,Post-monsoon
690,-0.8534810003811882,-0.8656687442951547,0.3997467929199525,11.0,2019.0,High_Himal,2019-11-01,Post-monsoon
690,-0.7073052025345585,-0.6632607128495422,0.3996919151080811,12.0,2019.0,High_Himal,2019-12-01,Winter
690,-0.6297267107817703,-0.6020428547572378,0.2620402007852258,1.0,2020.0,High_Himal,2020-01-01,Winter
690,-0.5037034692782212,-0.4618422941482664,0.3277118461801533,2.0,2020.0,High_Himal,2020-02-01,Winter
690,-0.3969125023475278,-0.3784148976961894,0.2518459241614976,3.0,2020.0,High_Himal,2020-03-01,Pre-monsoon
690,-0.3810315459544238,-0.3707787600828452,0.2685169326486504,4.0,2020.0,High_Himal,2020-04-01,Pre-monsoon
690,-0.4615181835613833,-0.4797009581932694,0.3454034504344608,5.0,2020.0,High_Himal,2020-05-01,Pre-monsoon
690,-0.6499847681376787,-0.6455608807012724,0.3245432168348343,6.0,2020.0,High_Himal,2020-06-01,Monsoon
690,-0.9213582042883838,-0.8948181047978807,0.2402761508634472,7.0,2020.0,High_Himal,2020-07-01,Monsoon
690,-0.9832487717251192,-0.9796810427769996,0.2387959700605815,8.0,2020.0,High_Himal,2020-08-01,Monsoon
690,-0.9907240379264188,-0.9885035498744884,0.301769620321125,9.0,2020.0,High_Himal,2020-09-01,Monsoon
690,-0.7400522972092578,-0.7872180858467592,0.5128254400736232,10.0,2020.0,High_Himal,2020-10-01,Post-monsoon
690,-0.9598764272571008,-0.9778750139653384,0.4343560244713036,11.0,2020.0,High_Himal,2020-11-01,Post-monsoon
690,-1.0158389019279082,-1.0391094853165206,0.4709356481533606,12.0,2020.0,High_Himal,2020-12-01,Winter
690,-0.7667017514723795,-0.8193273222565176,0.4512386110940929,1.0,2021.0,High_Himal,2021-01-01,Winter
690,-0.7263400682427696,-0.7375467408808731,0.3405445217800913,2.0,2021.0,High_Himal,2021-02-01,Winter
690,-0.637060570735007,-0.6334491137513646,0.3765570202667533,3.0,2021.0,High_Himal,2021-03-01,Pre-monsoon
690,-0.4451235963714272,-0.4146514149547506,0.3599683655725214,4.0,2021.0,High_Himal,2021-04-01,Pre-monsoon
690,-0.745620545404742,-0.7294938807248226,0.2856266037695361,5.0,2021.0,High_Himal,2021-05-01,Pre-monsoon
690,-0.8596798602434933,-0.8787788269974474,0.3441806789396067,6.0,2021.0,High_Himal,2021-06-01,Monsoon
690,-0.7710902535220777,-0.7783986047485899,0.2146278129594899,7.0,2021.0,High_Himal,2021-07-01,Monsoon
690,-0.8407531967054156,-0.8627635566921678,0.2476028566107272,8.0,2021.0,High_Himal,2021-08-01,Monsoon
690,-0.7917355842780318,-0.8013810679670968,0.2346177882726917,9.0,2021.0,High_Himal,2021-09-01,Monsoon
690,-0.3590434945378489,-0.3873065989142951,0.4143056977151231,10.0,2021.0,High_Himal,2021-10-01,Post-monsoon
690,-0.3909319050459231,-0.3843146351341249,0.4543062706373014,11.0,2021.0,High_Himal,2021-11-01,Post-monsoon
690,-0.5519068133590127,-0.5231988317575069,0.3412220105502481,12.0,2021.0,High_Himal,2021-12-01,Winter
690,-0.5519818836252873,-0.526866045974407,0.2939475532312449,1.0,2022.0,High_Himal,2022-01-01,Winter
690,-0.4351800671202263,-0.4093584646339721,0.2989692989792169,2.0,2022.0,High_Himal,2022-02-01,Winter
690,0.0968402781300612,0.0978857067755501,0.3069881975961475,3.0,2022.0,High_Himal,2022-03-01,Pre-monsoon
690,-0.0238926820803767,-0.0580145327079577,0.3639935688696479,4.0,2022.0,High_Himal,2022-04-01,Pre-monsoon
690,-0.385957243101693,-0.4102274826614689,0.2751860191587427,5.0,2022.0,High_Himal,2022-05-01,Pre-monsoon
690,-0.2733251997051146,-0.3344740800754364,0.4163856563724311,6.0,2022.0,High_Himal,2022-06-01,Monsoon
690,-0.5334229534832587,-0.5362778700904228,0.197965827503261,7.0,2022.0,High_Himal,2022-07-01,Monsoon
690,-0.5646664862277629,-0.5667702708548799,0.1955962005275617,8.0,2022.0,High_Himal,2022-08-01,Monsoon
